Customer ID,Number of Houses,Avg Size Household,Age,Relationship Status,Household Type,Education Level,House Type,Number of Car Policies,Number of Life Insurance Policies,Purchased?
844886,2,4,33,Married,With Children,Low,Home Owner,1,0,No
241543,1,3,49,Married,With Children,Low,Home Owner,1,0,Yes
316931,1,3,42,Married,With Children,Low,Rented House,0,0,No
87677,1,2,47,Married,Without Children,Medium,Rented House,1,0,No
119728,1,3,50,Married,With Children,Low,Home Owner,1,0,No
488883,1,2,60,Married,Without Children,Low,Rented House,0,0,No
655718,1,2,48,Married,With Children,Medium,Rented House,1,0,No
87895,1,3,48,Married,With Children,Medium,Home Owner,0,0,No
344908,1,3,57,Married,Without Children,Low,Rented House,1,0,No
786399,1,4,47,Married,With Children,High,Rented House,0,0,No
47893,1,4,41,Married,With Children,High,Home Owner,1,0,No
749260,1,4,50,Married,With Children,Low,Rented House,1,0,No
51648,2,4,32,Married,With Children,Low,Home Owner,1,0,No
628184,1,2,44,Other Relationship,With Children,Low,Rented House,0,0,No
892405,1,3,42,Married,With Children,Low,Rented House,1,0,No
42951,1,3,50,Married,With Children,Low,Home Owner,1,0,No
719397,1,3,32,Married,With Children,Medium,Home Owner,1,0,Yes
630208,1,3,38,Married,With Children,Low,Rented House,1,0,No
502578,1,3,46,Married,With Children,High,Home Owner,2,0,Yes
517221,1,4,41,Married,With Children,Low,Home Owner,0,0,No
979576,1,2,41,Married,Without Children,Low,Home Owner,1,0,No
778277,1,3,31,Married,Without Children,Medium,Home Owner,1,1,No
995779,1,2,31,Married,Without Children,Low,Home Owner,0,0,No
908757,1,3,48,Married,With Children,Medium,Home Owner,1,0,No
666458,1,2,42,Married,Without Children,Low,Rented House,0,0,No
158193,1,3,48,Married,With Children,Low,Rented House,1,0,No
818160,1,4,40,Married,With Children,Low,Home Owner,0,0,No
16237,1,3,53,Married,With Children,Low,Home Owner,0,0,No
715158,1,3,41,Married,Without Children,Medium,Home Owner,0,0,No
638379,1,2,41,Married,Without Children,Low,Rented House,0,0,No
84664,2,2,41,Married,With Children,Low,Rented House,1,0,No
540341,1,3,42,Married,With Children,Medium,Home Owner,0,0,No
305872,1,3,32,Married,With Children,Medium,Home Owner,0,0,No
127192,1,2,56,Married,Without Children,Low,Rented House,0,0,No
218444,1,3,50,Married,Without Children,Medium,Rented House,1,0,No
589232,1,3,40,Married,With Children,Low,Home Owner,0,0,No
875770,1,3,48,Married,Without Children,Medium,Home Owner,0,0,No
426768,2,3,42,Married,With Children,Low,Home Owner,0,0,No
395292,1,1,66,Other Relationship,Without Children,Low,Rented House,0,0,No
474520,1,2,50,Married,Without Children,Low,Home Owner,0,0,Yes
14778,1,3,42,Married,Without Children,Medium,Rented House,0,0,No
47622,1,2,33,Married,With Children,Medium,Rented House,2,0,No
198153,2,3,40,Married,With Children,High,Home Owner,0,0,No
294455,1,4,31,Married,With Children,Medium,Home Owner,1,0,No
577410,1,2,50,Married,Without Children,Low,Rented House,1,0,No
777795,1,3,31,Married,With Children,Low,Home Owner,1,0,No
414088,1,2,48,Married,With Children,Low,Rented House,1,0,No
207154,1,4,35,Other Relationship,With Children,Low,Home Owner,0,0,No
267252,1,2,44,Married,With Children,Low,Rented House,1,0,No
610663,1,3,44,Married,Without Children,High,Home Owner,0,0,No
530566,1,3,30,Married,With Children,Low,Rented House,1,0,No
670307,1,3,53,Other Relationship,Without Children,High,Home Owner,0,0,No
879417,2,2,46,Married,With Children,Low,Rented House,1,0,No
727033,1,3,40,Married,With Children,Low,Home Owner,1,0,No
982400,1,2,51,Married,Without Children,Low,Home Owner,1,0,No
863360,1,2,45,Married,Without Children,Low,Rented House,1,0,No
136768,1,2,46,Married,With Children,Medium,Home Owner,0,0,No
215225,1,3,42,Married,With Children,Low,Rented House,2,0,No
623456,1,2,49,Married,Without Children,Low,Rented House,0,0,No
676181,1,3,30,Married,With Children,Medium,Rented House,0,0,No
579189,1,2,44,Other Relationship,Without Children,Low,Rented House,1,0,No
469789,1,4,49,Married,With Children,Medium,Home Owner,0,0,No
909034,1,3,33,Married,With Children,Low,Rented House,0,0,No
20473,1,3,43,Married,With Children,Medium,Home Owner,1,0,No
455514,1,2,33,Living Together,Without Children,Low,Rented House,0,0,No
342471,1,2,53,Married,Without Children,Low,Rented House,0,0,No
883377,1,2,42,Other Relationship,With Children,Medium,Home Owner,1,0,No
956126,1,4,41,Married,With Children,Low,Home Owner,3,0,No
587034,2,3,40,Married,With Children,Low,Home Owner,1,0,No
989228,1,2,56,Married,Without Children,Low,Home Owner,0,0,No
255094,2,2,66,Married,Without Children,Medium,Rented House,0,0,No
185960,1,2,49,Married,Without Children,Low,Rented House,0,0,No
111649,2,5,34,Married,With Children,Low,Home Owner,0,0,No
630521,1,2,51,Married,Without Children,Low,Home Owner,2,2,No
123002,1,4,30,Married,With Children,Low,Rented House,1,0,No
952020,1,2,52,Other Relationship,Without Children,Low,Rented House,0,0,No
350886,1,3,46,Married,With Children,High,Rented House,1,0,No
485077,1,3,32,Married,With Children,Medium,Rented House,0,0,No
525462,1,3,48,Married,With Children,Low,Home Owner,0,0,No
28930,1,2,65,Married,Without Children,Low,Rented House,1,0,No
67060,1,2,56,Married,Without Children,Medium,Home Owner,1,0,Yes
774504,1,4,50,Married,With Children,Low,Home Owner,1,0,No
534108,1,2,36,Married,Without Children,High,Rented House,1,0,No
385174,1,3,46,Married,With Children,Medium,Rented House,0,0,No
738037,1,2,40,Married,With Children,Low,Rented House,1,0,No
741581,1,3,33,Married,Without Children,Medium,Home Owner,0,0,No
470829,1,3,34,Married,With Children,Medium,Rented House,1,0,No
73957,1,3,45,Married,With Children,Low,Home Owner,1,0,No
488548,1,2,54,Married,Without Children,Medium,Home Owner,1,0,No
926232,1,4,30,Married,With Children,Low,Home Owner,1,0,Yes
202702,1,3,43,Other Relationship,With Children,Low,Home Owner,0,0,No
5745,1,2,35,Other Relationship,Without Children,Low,Rented House,1,0,No
341250,2,3,31,Married,With Children,Low,Home Owner,0,0,No
654071,1,2,59,Married,Without Children,Medium,Home Owner,0,0,Yes
784274,1,1,40,Other Relationship,Without Children,High,Rented House,1,0,No
944028,1,3,40,Married,With Children,High,Home Owner,1,0,No
974740,1,1,32,Singles,Without Children,Medium,Rented House,1,0,No
387511,1,2,43,Married,Without Children,Medium,Home Owner,1,0,No
527432,1,1,69,Singles,Without Children,Low,Rented House,0,0,No
837269,1,2,42,Married,Without Children,Low,Home Owner,0,0,No
301326,1,3,32,Married,With Children,Low,Home Owner,1,0,No
913997,2,3,45,Married,With Children,Low,Home Owner,1,0,Yes
417614,1,3,40,Married,With Children,High,Home Owner,1,0,No
241290,1,2,51,Married,Without Children,Medium,Home Owner,0,0,No
580197,1,2,50,Married,Without Children,Low,Rented House,0,0,No
185238,1,2,60,Other Relationship,With Children,Low,Rented House,1,4,Yes
902985,1,2,57,Married,Without Children,Low,Rented House,1,0,No
902882,1,4,40,Married,With Children,Medium,Home Owner,1,0,No
286362,1,2,36,Other Relationship,Without Children,High,Rented House,0,0,No
94874,1,3,31,Married,With Children,Medium,Rented House,0,0,No
242691,1,2,44,Married,Without Children,Low,Rented House,0,0,No
303978,1,1,35,Other Relationship,Without Children,Medium,Rented House,0,0,No
41056,1,2,53,Married,Without Children,Low,Rented House,1,0,No
94040,1,3,40,Married,With Children,Medium,Rented House,1,2,No
333494,1,3,41,Married,With Children,Low,Home Owner,0,0,No
512893,1,4,33,Married,With Children,Medium,Home Owner,2,1,No
274774,1,2,40,Other Relationship,With Children,Low,Home Owner,4,0,No
446427,1,2,53,Married,Without Children,Medium,Home Owner,1,0,No
606573,1,2,48,Married,Without Children,Low,Rented House,0,0,No
815741,1,3,49,Married,With Children,Medium,Home Owner,0,0,No
60858,1,2,53,Married,Without Children,High,Home Owner,1,0,No
786231,1,2,40,Other Relationship,Without Children,Low,Rented House,0,0,No
557773,1,3,33,Married,With Children,Medium,Rented House,1,0,No
135145,1,2,39,Married,Without Children,Medium,Rented House,1,0,No
922869,1,2,48,Married,With Children,Low,Rented House,0,0,No
322951,1,2,46,Married,With Children,Low,Home Owner,1,0,No
69049,1,3,50,Married,Without Children,Medium,Home Owner,1,0,No
566794,1,2,56,Married,Without Children,Low,Home Owner,0,0,No
921858,1,4,46,Married,With Children,Low,Rented House,0,0,No
631835,1,4,43,Married,With Children,Low,Home Owner,1,0,No
605202,1,2,55,Married,Without Children,Low,Rented House,1,0,No
366499,1,2,42,Married,With Children,Medium,Rented House,0,0,No
912051,1,3,54,Married,Without Children,Low,Rented House,1,0,No
888909,1,3,42,Married,With Children,Low,Rented House,0,0,No
684166,1,2,38,Married,Without Children,Low,Rented House,1,0,No
209479,1,2,52,Married,Without Children,Low,Rented House,0,0,No
477150,1,3,48,Married,With Children,High,Home Owner,0,0,No
733290,2,2,58,Married,Without Children,Low,Home Owner,1,0,No
921637,1,3,30,Married,With Children,High,Home Owner,1,0,No
889334,1,2,31,Other Relationship,Without Children,Medium,Rented House,2,0,No
809121,2,4,36,Married,With Children,Low,Home Owner,1,0,No
403918,1,2,53,Married,Without Children,Medium,Home Owner,1,0,No
519770,1,2,57,Married,Without Children,Low,Rented House,1,0,No
944364,1,4,38,Married,Without Children,High,Home Owner,0,0,No
167788,1,3,50,Married,With Children,High,Home Owner,2,0,No
838561,1,3,59,Married,Without Children,Low,Home Owner,0,0,No
159773,2,3,38,Married,With Children,Medium,Rented House,1,0,No
665400,1,3,47,Married,With Children,Medium,Rented House,0,0,No
394427,1,2,52,Married,Without Children,Low,Home Owner,1,0,No
512071,1,3,49,Married,Without Children,Low,Rented House,1,0,No
191547,1,4,39,Married,With Children,Low,Home Owner,1,0,No
666131,1,3,43,Married,With Children,Low,Rented House,2,0,Yes
627137,1,3,41,Married,With Children,Low,Home Owner,1,0,No
139357,1,2,43,Married,With Children,Low,Rented House,0,0,No
778689,1,2,51,Married,Without Children,Medium,Home Owner,1,0,No
523486,1,3,50,Married,With Children,Low,Home Owner,0,0,No
729081,2,3,49,Married,With Children,Low,Home Owner,0,0,No
805224,1,3,37,Married,With Children,Low,Rented House,1,0,No
926100,1,2,54,Married,Without Children,High,Home Owner,1,1,No
357943,1,2,33,Other Relationship,Without Children,Medium,Rented House,1,0,No
768523,1,2,70,Other Relationship,With Children,Low,Rented House,1,2,No
680631,1,4,49,Married,With Children,Low,Home Owner,0,0,No
920914,2,3,40,Married,With Children,Low,Home Owner,1,0,No
380448,1,2,35,Other Relationship,Without Children,Low,Home Owner,0,0,No
301217,1,2,49,Married,Without Children,Low,Rented House,0,1,No
909818,1,3,40,Married,With Children,Low,Rented House,2,0,No
146974,1,3,58,Married,Without Children,Low,Home Owner,0,0,No
697049,1,3,30,Married,With Children,Low,Home Owner,1,0,No
108588,1,3,45,Married,Without Children,High,Home Owner,1,0,No
578808,1,4,44,Married,With Children,Low,Rented House,0,0,No
280056,2,2,46,Married,Without Children,Medium,Home Owner,0,0,No
457836,1,2,57,Married,Without Children,High,Home Owner,2,0,No
498897,1,3,41,Married,With Children,Low,Home Owner,0,0,No
76460,1,4,49,Married,Without Children,Low,Home Owner,0,0,No
683949,1,4,39,Married,Without Children,High,Home Owner,0,0,No
495746,1,2,43,Married,Without Children,Medium,Home Owner,0,0,No
235579,1,3,44,Married,With Children,Low,Rented House,1,0,No
90794,1,3,37,Married,With Children,Medium,Home Owner,0,0,Yes
241306,1,2,60,Married,Without Children,Low,Rented House,0,2,No
650382,1,3,44,Married,With Children,Low,Home Owner,0,0,No
498509,1,3,49,Married,With Children,High,Home Owner,2,1,No
620533,1,3,49,Married,With Children,Low,Home Owner,1,0,No
38736,1,2,60,Married,Without Children,High,Home Owner,2,0,Yes
674483,1,2,53,Married,With Children,Low,Home Owner,1,0,No
796927,1,2,54,Married,With Children,Medium,Home Owner,0,0,No
302828,1,1,30,Other Relationship,Without Children,Medium,Rented House,0,0,No
921107,1,2,50,Other Relationship,With Children,Low,Home Owner,1,0,No
386802,1,2,50,Married,With Children,Low,Home Owner,1,0,No
468969,2,2,50,Married,With Children,Low,Rented House,0,0,No
748042,1,2,34,Married,Without Children,Low,Home Owner,2,0,No
97165,1,3,40,Married,With Children,Medium,Rented House,2,0,No
355119,1,2,60,Married,Without Children,High,Home Owner,1,0,No
57652,1,3,37,Married,With Children,Low,Home Owner,0,0,No
313692,1,3,40,Married,With Children,Low,Rented House,1,0,No
727390,1,3,48,Married,Without Children,Low,Rented House,1,0,No
753037,1,3,34,Married,With Children,Low,Home Owner,0,0,No
683768,1,3,45,Married,With Children,Medium,Rented House,0,0,No
506818,2,2,33,Married,Without Children,Medium,Rented House,0,0,No
630929,1,2,46,Married,Without Children,Low,Home Owner,1,0,No
190370,1,4,33,Married,With Children,Medium,Home Owner,1,0,No
415879,1,3,47,Married,With Children,Low,Home Owner,1,0,No
181737,1,3,49,Married,With Children,Medium,Rented House,1,0,No
221274,1,3,43,Married,Without Children,Low,Home Owner,1,0,No
274261,1,1,34,Other Relationship,Without Children,Medium,Rented House,1,0,No
380409,2,2,62,Married,With Children,Low,Home Owner,0,0,No
574560,1,3,41,Married,With Children,Low,Home Owner,0,0,No
972391,1,2,33,Married,Without Children,Medium,Rented House,1,1,Yes
96847,2,2,35,Married,With Children,Low,Rented House,0,0,No
954312,1,3,44,Married,With Children,Low,Rented House,1,0,No
944353,1,3,40,Married,With Children,High,Home Owner,0,0,No
600834,1,2,57,Married,Without Children,Medium,Rented House,0,0,No
126281,1,3,46,Married,With Children,Low,Rented House,0,0,No
241790,1,3,52,Married,With Children,Medium,Home Owner,0,0,No
978104,1,3,50,Married,Without Children,Low,Rented House,1,0,No
280534,1,2,31,Other Relationship,Without Children,Medium,Rented House,1,0,No
358270,1,2,43,Married,Without Children,Low,Rented House,0,0,No
667831,1,2,39,Married,With Children,Medium,Rented House,1,0,No
683182,1,3,50,Married,Without Children,Medium,Home Owner,0,0,No
158517,1,3,47,Married,With Children,Low,Rented House,1,0,No
655644,1,2,49,Other Relationship,Without Children,Medium,Home Owner,0,0,No
135238,1,2,55,Married,Without Children,High,Home Owner,2,0,Yes
521062,1,3,50,Married,Without Children,Low,Home Owner,1,0,No
778742,2,3,32,Married,With Children,Medium,Rented House,1,0,No
812067,1,2,32,Married,Without Children,Low,Home Owner,0,0,No
813143,1,4,34,Married,With Children,Medium,Home Owner,0,0,No
996229,1,3,45,Married,With Children,Low,Home Owner,1,0,No
394091,1,2,32,Married,Without Children,Medium,Rented House,1,0,No
584984,1,2,56,Married,Without Children,Medium,Rented House,1,1,No
340829,1,2,49,Other Relationship,Without Children,Low,Rented House,0,0,No
679319,1,3,46,Married,With Children,Low,Rented House,0,0,No
25653,1,2,49,Married,With Children,Medium,Home Owner,0,0,No
13109,1,3,44,Married,With Children,Low,Home Owner,0,0,No
333713,1,4,42,Married,With Children,Low,Home Owner,0,0,No
400097,1,4,37,Other Relationship,With Children,Low,Home Owner,1,0,No
484602,2,2,70,Married,Without Children,Low,Rented House,0,0,No
475568,1,2,40,Married,Without Children,Low,Rented House,0,0,No
26285,2,3,47,Married,With Children,Low,Home Owner,1,0,No
119874,1,2,60,Married,Without Children,Low,Home Owner,1,0,No
186144,1,3,47,Married,With Children,Medium,Home Owner,0,0,Yes
556775,1,3,43,Married,With Children,Low,Home Owner,1,0,No
498848,1,3,49,Married,With Children,High,Home Owner,0,0,No
410217,1,2,59,Married,Without Children,Low,Rented House,0,0,No
590316,1,2,57,Married,Without Children,Medium,Rented House,1,0,No
149461,1,2,38,Singles,With Children,Low,Rented House,1,0,No
157210,1,3,50,Other Relationship,With Children,Low,Home Owner,1,0,No
984342,1,2,52,Married,Without Children,Low,Home Owner,0,0,No
442429,1,2,70,Other Relationship,With Children,Low,Rented House,1,0,No
914410,1,3,32,Married,With Children,Low,Home Owner,0,0,No
292661,1,4,44,Married,With Children,Medium,Home Owner,0,0,No
215399,2,2,32,Living Together,Without Children,Medium,Rented House,1,0,No
24285,1,2,47,Married,Without Children,Medium,Home Owner,0,0,No
200120,1,3,40,Married,With Children,Medium,Rented House,0,0,No
944216,1,3,30,Married,With Children,Medium,Rented House,1,1,No
201071,1,2,46,Other Relationship,Without Children,Medium,Rented House,1,0,No
299605,1,2,61,Other Relationship,With Children,Low,Rented House,1,0,No
376639,1,2,45,Other Relationship,Without Children,Medium,Home Owner,1,0,No
548742,1,3,41,Married,With Children,Low,Home Owner,1,0,No
281932,1,3,41,Married,With Children,Medium,Home Owner,1,0,No
348602,1,3,40,Married,With Children,Low,Home Owner,1,0,No
414033,1,2,58,Married,Without Children,Medium,Rented House,0,0,No
812483,1,3,31,Married,With Children,Medium,Home Owner,0,1,No
596611,1,3,59,Other Relationship,With Children,Low,Rented House,1,0,No
491139,1,2,60,Married,Without Children,Low,Rented House,0,0,No
397182,1,2,67,Other Relationship,Without Children,Low,Rented House,1,0,No
78118,1,3,49,Married,With Children,Low,Rented House,1,0,No
241515,1,3,40,Married,With Children,Low,Home Owner,1,0,No
896310,1,2,52,Married,Without Children,High,Home Owner,1,0,No
321316,2,3,46,Married,With Children,Low,Home Owner,1,1,No
341553,1,3,45,Married,Without Children,Low,Home Owner,0,0,No
25036,1,2,60,Married,Without Children,High,Rented House,1,0,No
509904,1,3,37,Married,With Children,Medium,Rented House,1,2,No
474774,1,3,41,Married,With Children,Medium,Home Owner,0,0,No
315779,1,3,50,Other Relationship,With Children,Low,Rented House,0,1,No
107969,1,3,49,Married,Without Children,Medium,Home Owner,1,0,No
949118,1,2,44,Married,With Children,Low,Home Owner,1,0,No
7985,1,1,68,Singles,Without Children,Low,Rented House,0,0,No
137286,1,2,43,Married,Without Children,Medium,Home Owner,0,0,No
119754,1,2,50,Married,Without Children,Medium,Rented House,0,0,Yes
628494,2,4,36,Married,With Children,Low,Home Owner,1,0,Yes
524597,1,1,60,Other Relationship,Without Children,Low,Rented House,0,0,No
678892,1,2,60,Married,Without Children,Low,Home Owner,1,0,No
153362,1,1,38,Other Relationship,Without Children,Medium,Rented House,1,0,No
565030,2,3,36,Married,With Children,Low,Home Owner,1,0,No
599676,1,2,48,Married,Without Children,Low,Rented House,1,0,No
63128,1,2,33,Living Together,Without Children,High,Rented House,0,1,No
574905,1,3,32,Married,With Children,Low,Home Owner,1,0,No
709668,1,2,48,Married,Without Children,Medium,Rented House,0,0,No
663658,1,3,42,Married,With Children,Medium,Rented House,0,0,Yes
528921,1,4,48,Married,With Children,High,Home Owner,1,0,No
336849,1,3,40,Married,With Children,Medium,Home Owner,1,0,No
764671,1,3,48,Married,With Children,Low,Home Owner,1,0,No
522561,1,2,42,Married,With Children,Low,Home Owner,0,0,No
976387,1,2,48,Married,Without Children,Medium,Rented House,1,0,Yes
745347,1,3,43,Married,Without Children,Low,Rented House,0,0,No
129119,1,2,65,Married,Without Children,Medium,Rented House,0,0,No
553003,1,2,57,Married,Without Children,Low,Rented House,1,0,No
732339,1,3,50,Living Together,Without Children,Low,Home Owner,1,0,No
226620,1,2,53,Married,With Children,Low,Rented House,1,0,No
505650,1,3,49,Married,With Children,Medium,Rented House,0,0,No
513862,1,2,59,Married,Without Children,Low,Home Owner,1,0,No
134979,1,3,36,Married,With Children,Low,Rented House,1,0,No
86314,1,3,41,Married,With Children,Low,Home Owner,0,0,No
21278,1,3,32,Married,With Children,Low,Rented House,1,0,No
222134,1,1,79,Other Relationship,Without Children,Low,Rented House,1,0,No
651841,1,2,54,Married,Without Children,Low,Rented House,1,0,No
635012,1,4,50,Married,With Children,Low,Home Owner,0,0,No
693254,1,3,50,Married,With Children,Low,Rented House,1,2,No
664378,1,3,31,Married,With Children,Medium,Rented House,1,0,No
59911,1,3,60,Married,With Children,Low,Home Owner,0,0,No
856307,1,3,42,Married,With Children,Low,Home Owner,1,0,No
627191,1,2,46,Married,With Children,Low,Rented House,0,0,No
726218,1,3,45,Married,Without Children,Medium,Home Owner,0,0,No
33194,1,2,34,Other Relationship,Without Children,Low,Rented House,1,0,No
823599,2,3,49,Married,With Children,Low,Home Owner,0,0,No
457649,1,2,45,Married,Without Children,Medium,Home Owner,0,0,No
2896,1,2,59,Married,Without Children,High,Home Owner,1,0,No
937053,1,3,49,Married,With Children,Low,Rented House,0,0,No
560372,2,2,44,Married,With Children,Medium,Home Owner,0,0,No
67396,1,3,31,Married,Without Children,High,Home Owner,0,0,No
149963,1,3,49,Married,Without Children,Medium,Home Owner,1,0,No
904948,1,3,41,Married,With Children,Medium,Home Owner,0,0,No
174862,1,2,50,Other Relationship,Without Children,Low,Rented House,0,0,No
826850,1,4,34,Married,With Children,High,Home Owner,1,0,No
677110,1,3,33,Married,With Children,Low,Home Owner,1,0,No
106902,1,3,56,Married,With Children,Low,Rented House,1,0,No
576321,1,3,40,Married,Without Children,Medium,Home Owner,0,0,No
770491,1,3,41,Married,Without Children,Medium,Home Owner,0,0,No
863441,1,2,60,Other Relationship,With Children,Low,Rented House,1,0,No
512712,1,2,60,Married,Without Children,Medium,Rented House,1,0,No
764459,1,2,44,Married,With Children,Low,Rented House,1,0,No
389778,1,2,44,Other Relationship,Without Children,Medium,Rented House,1,0,No
778104,1,2,44,Married,Without Children,Medium,Rented House,1,0,No
455961,1,2,40,Married,Without Children,Medium,Rented House,0,0,No
916378,1,3,48,Married,Without Children,Medium,Rented House,0,0,No
504224,3,2,59,Married,Without Children,Low,Rented House,0,0,No
221625,1,3,41,Married,With Children,Low,Home Owner,1,0,No
334796,1,2,53,Married,Without Children,Low,Rented House,2,0,Yes
822718,1,2,52,Married,Without Children,Low,Rented House,0,0,No
992775,1,3,49,Married,With Children,Low,Rented House,0,0,No
402885,1,3,46,Married,With Children,Low,Home Owner,0,0,No
179049,1,3,44,Married,With Children,Medium,Home Owner,0,0,No
